gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00228,-80,8,1760678507,61964381,37.5,31.4
AN0,00228,-73,8,1760678507,61964390,37.5,31.4
AN1,00228,-83,4,1760678507,61964358,37.5,31.4
GW0,00229,-78,7,1760678537,59602951,36.8,32.1
AN0,00229,-75,7,1760678537,59602903,36.8,32.1
AN1,00229,-83,5,1760678537,59602884,36.8,32.1
GW0,00230,-79,7,1760678567,58160241,36.6,32.9
AN0,00230,-74,7,1760678567,58160477,36.6,32.9
AN1,00230,-82,6,1760678567,58160215,36.6,32.9
GW0,00231,-76,8,1760678597,55580609,36.8,32.9
AN0,00231,-71,8,1760678597,55580144,36.7,32.9
AN1,00231,-85,4,1760678597,55580637,36.7,32.9
GW0,00232,-80,9,1760678627,52634015,37.1,32.8
AN0,00232,-73,7,1760678627,52633998,37.1,32.7
AN1,00232,-83,4,1760678627,52634270,37.1,32.7
GW0,00233,-79,8,1760678657,51132566,37.1,31.9
AN0,00233,-70,8,1760678657,51132601,37.1,32.0
AN1,00233,-81,6,1760678657,51128736,37.1,32.0
GW0,00234,-80,8,1760678687,49492327,37.0,32.5
AN0,00234,-71,8,1760678687,49492330,36.9,32.5
AN1,00234,-84,4,1760678687,49488215,36.9,32.5
GW0,00235,-77,8,1760678717,48103816,36.7,33.1
AN0,00235,-73,8,1760678717,48103734,36.7,33.0
AN1,00235,-80,7,1760678717,48100015,36.7,33.0
GW0,00236,-75,8,1760678747,45692319,37.2,33.5
AN0,00236,-73,8,1760678747,45687760,37.2,33.5
AN1,00236,-79,6,1760678747,45687898,37.2,33.5
GW0,00237,-78,7,1760678777,43576260,37.7,31.8
AN0,00237,-74,8,1760678777,43571926,37.8,31.8
AN1,00237,-83,4,1760678777,43572067,37.8,31.8
GW0,00238,-78,8,1760678807,41369943,38.7,30.6
AN0,00238,-71,8,1760678807,41365638,38.7,30.6
AN1,00238,-79,7,1760678807,41366045,38.7,30.4
