gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN0,00156,-97,-6,1760331104,167300860,31.8,43.4
AN1,00156,-79,6,1760331104,167301069,31.8,43.4
GW0,00157,-71,8,1760331134,167911565,32.2,43.6
AN0,00157,-94,-4,1760331134,167911787,32.2,43.6
AN1,00157,-79,5,1760331134,167912035,32.2,43.6
GW0,00160,-70,8,1760331224,169101249,32.1,42.4
AN0,00160,-90,-3,1760331224,169101456,32.1,42.4
AN1,00160,-80,6,1760331224,169101868,32.1,42.4
GW0,00163,-73,8,1760331314,173289375,31.7,43.1
AN0,00163,-95,-5,1760331314,173289412,31.7,43.1
AN1,00163,-79,6,1760331314,173289523,31.7,43.1
GW0,00164,-73,8,1760331344,174817483,31.6,43.0
AN0,00164,-93,-3,1760331344,174817401,31.6,43.1
AN1,00164,-78,5,1760331344,174817727,31.6,43.1
GW0,00165,-73,8,1760331374,177889390,31.5,43.4
AN0,00165,-95,-4,1760331374,177890090,31.5,43.4
AN1,00165,-79,6,1760331374,177890056,31.5,43.4
GW0,00166,-73,8,1760331404,179267744,31.7,44.5
AN0,00166,-95,-4,1760331404,179268294,31.7,44.5
AN1,00166,-79,6,1760331404,179268486,31.7,44.5
GW0,00167,-71,8,1760331434,181065144,31.9,43.7
AN0,00167,-92,-2,1760331434,181065597,31.9,43.7
AN1,00167,-78,5,1760331434,181065481,31.9,43.7
